0,1,0,9,0,64,8,8,0,0,10,33,7,0,0,0,1,20,2,6,2,3,5,0,10,9,5,2,0,4,2,2,6,2,7,2,52,28,0,0,13,5,10,6,0,2,5,0,4,40,5,0,0,13,35,0,3,0
6,2,0,18,0,223,18,14,4,0,26,92,24,0,0,4,6,35,6,11,4,13,10,5,20,27,18,9,4,10,0,5,20,8,30,4,125,27,0,0,31,6,13,23,0,3,6,0,14,118,13,0,0,31,89,3,4,0
10,4,0,43,4,290,35,21,3,0,43,115,27,0,0,2,2,59,17,8,10,15,9,5,48,45,17,12,2,20,3,4,22,10,46,3,210,30,2,0,45,9,22,50,0,5,8,1,39,141,9,0,0,28,122,2,9,0
14,4,0,39,6,412,52,26,2,0,55,127,35,0,1,8,6,59,40,7,3,28,19,2,69,57,38,23,6,34,2,9,39,9,59,5,258,43,0,0,37,16,29,50,1,6,14,1,37,208,14,2,0,60,118,5,8,0
10,5,0,44,4,405,27,32,2,0,60,187,41,0,0,7,7,68,21,7,11,21,17,6,57,55,36,19,3,21,1,11,29,16,56,2,289,42,2,0,63,17,32,49,0,4,17,2,29,156,13,1,0,56,118,2,9,2
12,3,0,36,5,376,46,31,3,0,43,165,33,0,1,5,12,50,18,14,9,20,12,3,47,51,36,15,1,26,2,7,23,12,58,4,204,38,1,0,38,8,44,41,0,7,20,2,35,192,11,6,0,50,102,2,11,0
13,3,0,51,11,397,42,34,2,0,70,183,66,0,0,19,1,69,33,15,12,21,26,8,41,72,45,12,7,45,2,10,31,15,57,12,290,50,1,0,125,16,28,48,0,7,26,3,38,193,13,3,0,63,93,0,16,1
24,5,0,64,9,516,39,49,3,0,95,220,75,0,0,15,13,94,54,17,16,35,34,7,58,106,62,27,10,35,1,14,38,31,78,4,361,89,0,0,140,26,23,81,1,12,30,10,61,257,24,5,0,64,109,5,14,3
51,7,1,96,23,699,73,68,4,0,119,330,107,0,1,22,7,156,73,21,26,54,66,12,84,178,104,43,17,86,5,14,51,22,95,25,534,120,2,0,160,46,70,128,0,17,37,2,89,410,36,5,0,107,185,11,37,4
53,3,0,147,37,1115,89,67,7,0,141,392,154,0,1,30,19,212,81,20,29,63,72,12,113,220,103,55,15,93,7,24,109,24,145,39,577,139,6,0,160,41,80,155,1,23,38,4,110,452,65,2,0,132,191,13,48,3
61,6,0,117,21,933,83,51,4,0,124,381,121,0,2,27,29,195,61,30,21,35,73,10,92,150,89,72,11,53,8,26,71,18,116,20,559,103,2,0,127,31,67,152,0,13,47,11,91,467,31,7,0,114,188,9,30,0
33,3,0,74,22,556,61,32,4,0,55,252,70,0,0,18,14,142,47,13,23,35,45,12,69,118,63,37,11,65,9,12,45,11,88,13,375,105,1,0,108,30,41,108,0,16,34,5,66,313,31,5,0,78,119,7,24,0
46,6,0,120,28,819,73,49,5,0,102,364,102,0,2,21,16,221,69,21,39,43,47,9,88,180,82,65,8,78,4,27,74,21,120,19,548,125,3,0,187,46,59,141,0,18,44,5,101,390,31,9,0,87,155,6,34,3
42,4,0,94,12,755,54,48,3,0,79,309,104,0,1,24,15,139,68,16,25,28,59,4,92,126,80,44,12,86,4,11,53,19,107,12,476,125,2,0,159,39,51,99,0,11,30,3,102,399,33,10,0,79,135,6,32,0
47,4,0,113,17,855,69,60,3,1,80,341,124,0,1,27,16,176,68,21,32,50,63,9,106,165,82,39,15,72,6,17,80,21,117,16,511,123,4,0,171,41,47,135,0,14,38,3,93,449,29,7,0,102,141,12,37,0
